variant,batch_index,source_index,objective,parameter_group,pair,cosine,left_norm,right_norm,left_targets,right_targets,left_loss,right_loss
full_control,7,24,localization,neck,medium-large,0.0069499267265200615,25.494098663330078,76.27727508544922,12,6,31.57579755783081,68.72060775756836
full_control,7,24,total,shared_features,small-medium,0.011498214676976204,14.678886413574219,290.677978515625,125,12,13.106725692749023,31.57579755783081
full_control,7,24,total,shared_features,small-large,-0.0035037060733884573,14.678886413574219,632.4028930664062,125,6,13.106725692749023,68.72060775756836
full_control,7,24,total,shared_features,medium-large,0.9916464686393738,290.677978515625,632.4028930664062,12,6,31.57579755783081,68.72060775756836
full_control,7,24,total,shared_predictors,small-medium,-0.0545421838760376,10.575207710266113,134.72525024414062,125,12,13.106725692749023,31.57579755783081
full_control,7,24,total,shared_predictors,small-large,-0.048034489154815674,10.575207710266113,292.2101745605469,125,6,13.106725692749023,68.72060775756836
full_control,7,24,total,shared_predictors,medium-large,0.9930306673049927,134.72525024414062,292.2101745605469,12,6,31.57579755783081,68.72060775756836
full_control,7,24,total,deep_backbone,small-medium,-0.1781931072473526,28.08882713317871,295.32391357421875,125,12,13.106725692749023,31.57579755783081
full_control,7,24,total,deep_backbone,small-large,-0.17257671058177948,28.08882713317871,670.1921997070312,125,6,13.106725692749023,68.72060775756836
full_control,7,24,total,deep_backbone,medium-large,0.9653961062431335,295.32391357421875,670.1921997070312,12,6,31.57579755783081,68.72060775756836
full_control,7,24,total,neck,small-medium,-0.07529410719871521,23.789609909057617,306.6314697265625,125,12,13.106725692749023,31.57579755783081
full_control,7,24,total,neck,small-large,-0.09192565083503723,23.789609909057617,682.8624877929688,125,6,13.106725692749023,68.72060775756836
full_control,7,24,total,neck,medium-large,0.9647412896156311,306.6314697265625,682.8624877929688,12,6,31.57579755783081,68.72060775756836
full_control,8,25,localization,shared_features,small-medium,0.2566079795360565,11.425911903381348,5.368314743041992,68,44,17.86104393005371,13.0286283493042
full_control,8,25,localization,shared_features,small-large,0.08354887366294861,11.425911903381348,19.945068359375,68,2,17.86104393005371,121.46308147907257
full_control,8,25,localization,shared_features,medium-large,0.07232498377561569,5.368314743041992,19.945068359375,44,2,13.0286283493042,121.46308147907257
full_control,8,25,localization,shared_predictors,small-medium,0.0801273062825203,8.428674697875977,3.5775601863861084,68,44,17.86104393005371,13.0286283493042
full_control,8,25,localization,shared_predictors,small-large,-0.03965327888727188,8.428674697875977,12.607942581176758,68,2,17.86104393005371,121.46308147907257
full_control,8,25,localization,shared_predictors,medium-large,0.009099816903471947,3.5775601863861084,12.607942581176758,44,2,13.0286283493042,121.46308147907257
full_control,8,25,localization,deep_backbone,small-medium,0.16728420555591583,24.452823638916016,20.170637130737305,68,44,17.86104393005371,13.0286283493042
full_control,8,25,localization,deep_backbone,small-large,0.027146371081471443,24.452823638916016,51.484039306640625,68,2,17.86104393005371,121.46308147907257
full_control,8,25,localization,deep_backbone,medium-large,-0.040848251432180405,20.170637130737305,51.484039306640625,44,2,13.0286283493042,121.46308147907257
full_control,8,25,localization,neck,small-medium,0.1432000696659088,19.103233337402344,14.743974685668945,68,44,17.86104393005371,13.0286283493042
full_control,8,25,localization,neck,small-large,0.005514539312571287,19.103233337402344,52.60707092285156,68,2,17.86104393005371,121.46308147907257
full_control,8,25,localization,neck,medium-large,0.025348031893372536,14.743974685668945,52.60707092285156,44,2,13.0286283493042,121.46308147907257
full_control,8,25,total,shared_features,small-medium,0.3439560532569885,33.6927490234375,27.06393814086914,68,44,17.86104393005371,13.0286283493042
full_control,8,25,total,shared_features,small-large,0.7935690879821777,33.6927490234375,909.3781127929688,68,2,17.86104393005371,121.46308147907257
